# http://visual6502.org/JSSim/expert.html?graphics=t&steps=1
cycle	ab	db	rw	Fetch	pc	a	x	y	s	p	Execute	State	ir	tcstate	pd	adl	adh	sb	alu	alucin	alua	alub	alucout	aluvout	dasb	plaOutputs	DPControl	idb	dor	irq	nmi	res
0	0000	a9	1	LDA #	0000	aa	00	00	fd	nv‑BdIZc	BRK	T1	00	101111	a9	01	00	ff	ff	0	ff	00	0	0	ff	brk/rti,SUMS	ADL/ABL,ADH/ABH,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,SBDB,PCHADH,PCLADL	ff	00	1	1	1
1	0001	00	1		0001	aa	00	00	fd	nv‑BdIZc	LDA #	T0+T2	a9	010111	a9	01	00	ff	ff	0	ff	ff	0	0	ff	T2,T0,T0‑lda,T0‑acc,T2‑abs‑access,SUMS	ADL/ABL,ADH/ABH,SS,DBADD,SBADD,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,SBDB,ADHPCH,PCHADH,PCLADL,ADLPCL	ff	ff	1	1	1
1	0001	00	1		0001	aa	00	00	fd	nv‑BdIZc	LDA #	T0+T2	a9	010111	00	02	00	ff	fe	0	ff	ff	1	0	ff	T2,T0,T0‑lda,T0‑acc,T2‑abs‑access,SUMS	ADL/ABL,ADH/ABH,SUMS,#DAA,~DAA,#DSA,~DSA,SBDB,PCHADH,PCLADL,DL/DB	ff	ff	1	1	1
2	0002	20	1	JSR Abs	0002	00	00	00	fd	nv‑BdIZc	LDA #	T1	a9	101111	00	02	00	00	fe	0	00	00	1	0	00	SUMS	ADL/ABL,ADH/ABH,SS,DBADD,SBADD,SUMS,#DAA,~DAA,#DSA,~DSA,SBAC,SBDB,ADHPCH,PCHADH,PCLADL,ADLPCL,DL/DB	00	00	1	1	1
2	0002	20	1	JSR Abs	0002	00	00	00	fd	nv‑BdIZc	LDA #	T1	a9	101111	20	03	00	00	00	0	00	00	0	0	00	SUMS	ADL/ABL,ADH/ABH,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,SBDB,PCHADH,PCLADL	00	00	1	1	1
3	0003	10	1		0003	00	00	00	fd	nv‑BdIZc	JSR Abs	T2	20	110111	20	03	00	00	00	0	00	00	0	0	00	T2,T2‑ADL/ADD,T2‑stack,T2‑jsr,T2‑stack‑access,jsr,SUMS	ADL/ABL,ADH/ABH,SS,DBADD,SBADD,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,SBDB,ADHPCH,PCHADH,PCLADL,ADLPCL	00	00	1	1	1
3	0003	10	1		0003	00	00	00	fd	nv‑BdIZc	JSR Abs	T2	20	110111	10	fd	01	ff	00	0	00	00	0	0	ff	T2,T2‑ADL/ADD,T2‑stack,T2‑jsr,T2‑stack‑access,jsr,SUMS	ADL/ABL,ADH/ABH,SADL,SUMS,#DAA,~DAA,#DSA,~DSA,SBDB,0ADH17,DL/DB	ff	00	1	1	1
4	01fd	00	1		0004	00	00	00	10	nv‑BdIZc	JSR Abs	T3	20	111011	10	fd	01	10	00	0	00	fd	0	0	10	T3‑stack/bit/jmp,T3‑jsr,T3,jsr,SUMS	ADL/ABL,ADH/ABH,SADL,SBS,ADLADD,0ADD,SUMS,#DAA,~DAA,#DSA,~DSA,SBDB,0ADH17,PCHPCH,#IPC,~IPC,PCLPCL,DL/DB	10	10	1	1	1
4	01fd	00	1		0004	00	00	00	10	nv‑BdIZc	JSR Abs	T3	20	111011	00	fd	ff	ff	fd	0	00	fd	0	0	ff	T3‑stack/bit/jmp,T3‑jsr,T3,jsr,SUMS	ADL/ABL,SUMS,#DAA,~DAA,ADDADL,#DSA,~DSA,PCHDB,#IPC,~IPC	00	10	1	1	1
5	01fd	00	0		0004	00	00	00	10	nv‑BdIZc	JSR Abs	T4	20	111101	00	fd	ff	ff	fd	0	ff	fd	0	0	ff	T4‑brk/jsr,T4,jsr,SUMS	ADL/ABL,SS,ADLADD,SBADD,SUMS,#DAA,~DAA,ADDADL,#DSA,~DSA,PCHPCH,PCHDB,#IPC,~IPC,PCLPCL	00	00	1	1	1
5	01fd	00	0		0004	00	00	00	10	nv‑BdIZc	JSR Abs	T4	20	111101	00	fc	ff	ff	fc	0	ff	fd	1	0	ff	T4‑brk/jsr,T4,jsr,SUMS	ADL/ABL,SUMS,#DAA,~DAA,ADDADL,#DSA,~DSA,#IPC,~IPC,PCLDB	04	00	1	1	1
6	01fc	00	0		0004	00	00	00	10	nv‑BdIZc	JSR Abs	T5	20	111110	00	fc	ff	ff	fc	0	ff	fc	1	0	ff	T5‑jsr,jsr,T5‑jsr,SUMS	ADL/ABL,SS,ADLADD,SBADD,SUMS,#DAA,~DAA,ADDADL,#DSA,~DSA,PCHPCH,#IPC,~IPC,PCLDB,PCLPCL	04	04	1	1	1
6	01fc	04	0		0004	00	00	00	10	nv‑BdIZc	JSR Abs	T5	20	111110	04	04	00	fb	fb	0	ff	fc	1	0	fb	T5‑jsr,jsr,T5‑jsr,SUMS	ADL/ABL,ADH/ABH,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,PCHADH,#IPC,~IPC,PCLADL	ff	04	1	1	1
7	0004	00	1		0004	00	00	00	10	nv‑BdIZc	JSR Abs	T0	20	011111	04	04	00	fb	fb	0	fb	00	1	0	fb	T0‑jsr,T0,jsr,SUMS	ADL/ABL,ADH/ABH,SS,nDBADD,SBADD,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,PCHPCH,PCHADH,PCLADL,ADLPCL	ff	ff	1	1	1
7	0004	00	1		0004	00	00	00	10	nv‑BdIZc	JSR Abs	T0	20	011111	00	10	ff	fb	fb	0	fb	00	0	0	fb	T0‑jsr,T0,jsr,SUMS	ADL/ABL,ADH/ABH,SADL,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,DL/ADH,DL/DB	ff	ff	1	1	1
8	0010	e8	1	INX	0010	00	00	00	fb	nv‑BdIZc	JSR Abs	T1	20	101111	00	10	00	fb	fb	0	00	00	0	0	fb	jsr,SUMS	ADL/ABL,ADH/ABH,SADL,SBS,DBADD,0ADD,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,ADHPCH,ADLPCL,DL/ADH,DL/DB	00	00	1	1	1
8	0010	e8	1	INX	0010	00	00	00	fb	nv‑BdIZc	JSR Abs	T1	20	101111	e8	11	00	00	00	0	00	00	0	0	00	jsr,SUMS	ADL/ABL,ADH/ABH,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,SBDB,PCHADH,PCLADL	00	00	1	1	1
9	0011	88	1		0011	00	00	00	fb	nv‑BdIZc	INX	T0+T2	e8	010111	e8	11	00	00	00	0	00	00	0	0	00	T0‑cpx/inx,T2,T0,T0‑cpx/cpy/inx/iny,T2‑abs‑access,implied,SUMS	ADL/ABL,ADH/ABH,SS,DBADD,SBADD,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,SBDB,ADHPCH,PCHADH,#IPC,~IPC,PCLADL,ADLPCL	00	00	1	1	1
9	0011	88	1		0011	00	00	00	fb	nv‑BdIZc	INX	T0+T2	e8	010111	88	11	00	ff	00	0	00	00	0	0	ff	T0‑cpx/inx,T2,T0,T0‑cpx/cpy/inx/iny,T2‑abs‑access,implied,SUMS	ADL/ABL,ADH/ABH,SUMS,#DAA,~DAA,#DSA,~DSA,PCHADH,#IPC,~IPC,PCLADL	ff	00	1	1	1
10	0011	88	1	DEY	0011	00	00	00	fb	nv‑BdIZc	INX	T1	e8	101111	88	11	00	00	00	1	00	00	0	0	00	T+‑inx,implied,SUMS	ADL/ABL,ADH/ABH,XSB,SS,nDBADD,SBADD,SUMS,#DAA,~DAA,#DSA,~DSA,ADHPCH,PCHADH,PCLADL,ADLPCL	ff	ff	1	1	1
10	0011	88	1	DEY	0011	00	00	00	fb	nv‑BdIZc	INX	T1	e8	101111	88	12	00	01	01	1	00	00	0	0	01	T+‑inx,implied,SUMS	ADL/ABL,ADH/ABH,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,SBDB,PCHADH,PCLADL	01	ff	1	1	1
11	0012	e6	1		0012	00	01	00	fb	nv‑BdIzc	DEY	T0+T2	88	010111	88	12	00	01	01	0	01	01	0	0	01	T0‑iny/dey,T2,T0,T2‑abs‑access,store,implied,SUMS	ADL/ABL,ADH/ABH,SBX,SS,DBADD,SBADD,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,SBDB,ADHPCH,PCHADH,#IPC,~IPC,PCLADL,ADLPCL	01	01	1	1	1
11	0012	e6	1		0012	00	01	00	fb	nv‑BdIzc	DEY	T0+T2	88	010111	e6	12	00	ff	02	0	01	01	0	0	ff	T0‑iny/dey,T2,T0,T2‑abs‑access,store,implied,SUMS	ADL/ABL,ADH/ABH,SUMS,#DAA,~DAA,#DSA,~DSA,PCHADH,#IPC,~IPC,PCLADL	ff	01	1	1	1
12	0012	e6	1	INC zp	0012	00	01	00	fb	nv‑BdIzc	DEY	T1	88	101111	e6	12	00	00	02	0	00	ff	0	0	00	T+‑iny/dey,store,implied,SUMS	ADL/ABL,ADH/ABH,YSB,SS,DBADD,SBADD,SUMS,#DAA,~DAA,#DSA,~DSA,ADHPCH,PCHADH,PCLADL,ADLPCL	ff	ff	1	1	1
12	0012	e6	1	INC zp	0012	00	01	00	fb	nv‑BdIzc	DEY	T1	88	101111	e6	13	00	ff	ff	0	00	ff	0	0	ff	T+‑iny/dey,store,implied,SUMS	ADL/ABL,ADH/ABH,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,SBDB,PCHADH,PCLADL	ff	ff	1	1	1
13	0013	0f	1		0013	00	01	ff	fb	Nv‑BdIzc	INC zp	T2	e6	110111	e6	13	00	ff	ff	0	ff	ff	0	0	ff	T2,T2‑ADL/ADD,inc/nop,T2‑zp/zp‑idx,lsr/ror/dec/inc,T2‑mem‑zp,SUMS,rmw	ADL/ABL,ADH/ABH,SBY,SS,DBADD,SBADD,SUMS,#DAA,~DAA,ADDSB7,ADDSB06,#DSA,~DSA,SBDB,ADHPCH,PCHADH,PCLADL,ADLPCL	ff	ff	1	1	1
13	0013	0f	1		0013	00	01	ff	fb	Nv‑BdIzc	INC zp	T2	e6	110111	0f	ff	00	ff	fe	0	ff	ff	1	0	ff	T2,T2‑ADL/ADD,inc/nop,T2‑zp/zp‑idx,lsr/ror/dec/inc,T2‑mem‑zp,SUMS,rmw	ADL/ABL,ADH/ABH,SUMS,#DAA,~DAA,#DSA,~DSA,0ADH0,0ADH17,DL/ADL	ff	ff	1	1	1
14	000f	40	1		0014	00	01	ff	fb	Nv‑BdIzc	INC zp	T3	e6	111011	0f	0f	00	ff	fe	0	ff	0f	1	0	ff	inc/nop,T3,lsr/ror/dec/inc,SUMS,rmw	ADL/ABL,ADH/ABH,SS,ADLADD,SBADD,SUMS,#DAA,~DAA,#DSA,~DSA,0ADH0,0ADH17,PCHPCH,#IPC,~IPC,PCLPCL,DL/ADL	ff	ff	1	1	1
